Date,Close,Open,High,Low,Volume,,,,,,,,,,,,
5/26/21,121.68,120.64,122.15,120.63,1092819,,,,,,,,,,,,
5/27/21,120.13,121.85,122,120.1,1948113,,,,,,,,,,,,
5/28/21,120.58,121.1,121.41,120.38,1205382,,,,,,,,,,,,
6/1/21,121.49,121.1,121.9,120.24,958289,,,,,,,,,,,,
6/2/21,121.06,121.77,122.1,120.21,858105,,,,,,,,,,,,
6/3/21,120.23,119.75,120.49,119.14,917291,,,,,,,,,,,,
6/4/21,122.59,121.13,122.69,120.89,1297434,,,,,,,,,,,,
6/7/21,123.3,122.57,123.4,122.05,1192453,,,,,,,,,,,,
6/8/21,124.14,124,124.72,123.41,1253253,,,,,,,,,,,,
6/9/21,124.57,124.98,125.25,124.37,1006337,,,,,,,,,,,,
6/10/21,126.08,124.7,126.16,124.7,1561733,,,,,,,,,,,,
6/11/21,125.7,126.25,126.35,124.91,1262309,,,,,,,,,,,,
